Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name,d,run
71.3,1162393,1,1162393.0,1162393.0,1162393,1162393,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,1
28.7,466879,2,233439.5,233439.5,232827,234052,866.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,1
71.7,1174117,1,1174117.0,1174117.0,1174117,1174117,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,2
28.3,462587,2,231293.5,231293.5,230639,231948,925.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,2
81.2,7830114,1,7830114.0,7830114.0,7830114,7830114,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",10,1
18.8,1817835,2,908917.5,908917.5,857309,960526,72985.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",10,1
78.2,6521882,1,6521882.0,6521882.0,6521882,6521882,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",10,2
21.8,1813695,2,906847.5,906847.5,854386,959309,74191.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",10,2
71.3,1144997,1,1144997.0,1144997.0,1144997,1144997,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,1
28.7,461145,2,230572.5,230572.5,230031,231114,765.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,1
71.4,1164208,1,1164208.0,1164208.0,1164208,1164208,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,2
28.6,466436,2,233218.0,233218.0,232172,234264,1479.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,2
71.4,1152956,1,1152956.0,1152956.0,1152956,1152956,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,3
28.6,462282,2,231141.0,231141.0,230630,231652,722.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,3
71.5,1161597,1,1161597.0,1161597.0,1161597,1161597,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,4
28.5,462675,2,231337.5,231337.5,230222,232453,1577.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,4
71.9,1184341,1,1184341.0,1184341.0,1184341,1184341,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,5
28.1,462302,2,231151.0,231151.0,229957,232345,1688.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,5
71.3,1161552,1,1161552.0,1161552.0,1161552,1161552,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,6
28.7,466918,2,233459.0,233459.0,232942,233976,731.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,6
71.3,1152183,1,1152183.0,1152183.0,1152183,1152183,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,7
28.7,463018,2,231509.0,231509.0,230885,232133,882.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,7
71.4,1153571,1,1153571.0,1153571.0,1153571,1153571,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,8
28.6,462857,2,231428.5,231428.5,230344,232513,1533.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,8
71.3,1145580,1,1145580.0,1145580.0,1145580,1145580,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,9
28.7,462226,2,231113.0,231113.0,230046,232180,1509.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,9
71.6,1184634,1,1184634.0,1184634.0,1184634,1184634,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,10
28.4,470220,2,235110.0,235110.0,234461,235759,917.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,10
86.5,19848532,1,19848532.0,19848532.0,19848532,19848532,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,1
13.5,3086656,2,1543328.0,1543328.0,1433381,1653275,155488.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,1
85.3,18242903,1,18242903.0,18242903.0,18242903,18242903,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,2
14.7,3145739,2,1572869.5,1572869.5,1462867,1682872,155567.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,2
87.4,21090702,1,21090702.0,21090702.0,21090702,21090702,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,3
12.6,3052185,2,1526092.5,1526092.5,1417275,1634910,153891.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,3
85.2,17959650,1,17959650.0,17959650.0,17959650,17959650,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,4
14.8,3108399,2,1554199.5,1554199.5,1442815,1665584,157521.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,4
84.3,21862923,1,21862923.0,21862923.0,21862923,21862923,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,5
15.7,4072236,2,2036118.0,2036118.0,1920057,2152179,164135.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,5
85.1,17495534,1,17495534.0,17495534.0,17495534,17495534,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,6
14.9,3054506,2,1527253.0,1527253.0,1417791,1636715,154802.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,6
85.3,17764139,1,17764139.0,17764139.0,17764139,17764139,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,7
14.7,3052454,2,1526227.0,1526227.0,1417107,1635347,154319.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,7
85.2,18578141,1,18578141.0,18578141.0,18578141,18578141,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,8
14.8,3231888,2,1615944.0,1615944.0,1503338,1728550,159248.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,8
85.1,17997242,1,17997242.0,17997242.0,17997242,17997242,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,9
14.9,3163127,2,1581563.5,1581563.5,1470948,1692179,156433.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,9
84.4,21955782,1,21955782.0,21955782.0,21955782,21955782,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,10
15.6,4057981,2,2028990.5,2028990.5,1912145,2145836,165244.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,10
89.3,86309664,1,86309664.0,86309664.0,86309664,86309664,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,1
10.7,10327015,2,5163507.5,5163507.5,4888705,5438310,388629.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,1
90.6,83398972,1,83398972.0,83398972.0,83398972,83398972,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,2
9.4,8663400,2,4331700.0,4331700.0,4023462,4639938,435914.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,2
90.5,84387981,1,84387981.0,84387981.0,84387981,84387981,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,3
9.5,8811730,2,4405865.0,4405865.0,4099634,4712096,433076.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,3
90.5,83708210,1,83708210.0,83708210.0,83708210,83708210,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,4
9.5,8782024,2,4391012.0,4391012.0,4086240,4695784,431012.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,4
90.5,82599333,1,82599333.0,82599333.0,82599333,82599333,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,5
9.5,8642005,2,4321002.5,4321002.5,4018129,4623876,428327.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,5
92.2,101957267,1,101957267.0,101957267.0,101957267,101957267,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,6
7.8,8577813,2,4288906.5,4288906.5,3982318,4595495,433581.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,6
90.6,83236059,1,83236059.0,83236059.0,83236059,83236059,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,7
9.4,8620698,2,4310349.0,4310349.0,4005535,4615163,431072.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,7
90.0,82806262,1,82806262.0,82806262.0,82806262,82806262,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,8
10.0,9172179,2,4586089.5,4586089.5,4536029,4636150,70796.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,8
90.7,82425655,1,82425655.0,82425655.0,82425655,82425655,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,9
9.3,8455411,2,4227705.5,4227705.5,3926292,4529119,426263.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,9
90.6,82493437,1,82493437.0,82493437.0,82493437,82493437,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,10
9.4,8543360,2,4271680.0,4271680.0,3965733,4577627,432674.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,10
92.2,259232782,1,259232782.0,259232782.0,259232782,259232782,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,1
7.8,22007553,2,11003776.5,11003776.5,10404051,11603502,848139.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,1
93.0,256663656,1,256663656.0,256663656.0,256663656,256663656,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,2
7.0,19335524,2,9667762.0,9667762.0,7700636,11634888,2781936.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,2
93.1,228717488,1,228717488.0,228717488.0,228717488,228717488,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,3
6.9,16836704,2,8418352.0,8418352.0,7819818,9016886,846454.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,3
93.4,236232412,1,236232412.0,236232412.0,236232412,236232412,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,4
6.6,16725677,2,8362838.5,8362838.5,7766469,8959208,843393.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,4
93.1,226688408,1,226688408.0,226688408.0,226688408,226688408,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,5
6.9,16699559,2,8349779.5,8349779.5,7756141,8943418,839531.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,5
93.2,229349192,1,229349192.0,229349192.0,229349192,229349192,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,6
6.8,16852229,2,8426114.5,8426114.5,7827722,9024507,846254.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,6
93.1,226875744,1,226875744.0,226875744.0,226875744,226875744,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,7
6.9,16730767,2,8365383.5,8365383.5,7769850,8960917,842211.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,7
93.1,225830074,1,225830074.0,225830074.0,225830074,225830074,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,8
6.9,16708239,2,8354119.5,8354119.5,7760287,8947952,839806.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,8
93.2,229333040,1,229333040.0,229333040.0,229333040,229333040,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,9
6.8,16771158,2,8385579.0,8385579.0,7785548,8985610,848572.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,9
93.2,227752576,1,227752576.0,227752576.0,227752576,227752576,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,10
6.8,16616891,2,8308445.5,8308445.5,7715868,8901023,838031.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,10
94.5,497170196,1,497170196.0,497170196.0,497170196,497170196,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,1
5.5,29009877,2,14504938.5,14504938.5,14332442,14677435,243946.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,1
94.6,483798853,1,483798853.0,483798853.0,483798853,483798853,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,2
5.4,27556575,2,13778287.5,13778287.5,12804728,14751847,1376821.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,2
94.8,504313770,1,504313770.0,504313770.0,504313770,504313770,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,3
5.2,27444008,2,13722004.0,13722004.0,12740518,14703490,1388030.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,3
94.6,486758324,1,486758324.0,486758324.0,486758324,486758324,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,4
5.4,27861341,2,13930670.5,13930670.5,12948295,14913046,1389288.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,4
94.6,480441253,1,480441253.0,480441253.0,480441253,480441253,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,5
5.4,27441191,2,13720595.5,13720595.5,12753268,14687923,1368007.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,5
