Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name,d,run
94.6,487270386,1,487270386.0,487270386.0,487270386,487270386,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,6
5.4,27875115,2,13937557.5,13937557.5,12952745,14922370,1392735.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,6
94.6,502674373,1,502674373.0,502674373.0,502674373,502674373,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,7
5.4,28963080,2,14481540.0,14481540.0,12777865,16185215,2409360.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,7
94.6,480378477,1,480378477.0,480378477.0,480378477,480378477,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,8
5.4,27428149,2,13714074.5,13714074.5,12753641,14674508,1358258.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,8
94.6,482161662,1,482161662.0,482161662.0,482161662,482161662,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,9
5.4,27568816,2,13784408.0,13784408.0,12814350,14754466,1371869.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,9
94.0,499785442,1,499785442.0,499785442.0,499785442,499785442,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,10
6.0,32061454,2,16030727.0,16030727.0,12767255,19294199,4615246.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,10
94.3,892417300,1,892417300.0,892417300.0,892417300,892417300,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,1
5.7,54418087,2,27209043.5,27209043.5,25755797,28662290,2055200.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,1
94.8,874781369,1,874781369.0,874781369.0,874781369,874781369,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,2
5.2,47548269,2,23774134.5,23774134.5,21864602,25683667,2700486.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,2
94.2,889591512,1,889591512.0,889591512.0,889591512,889591512,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,3
5.8,54877878,2,27438939.0,27438939.0,26033736,28844142,1987257.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,3
94.8,879958339,1,879958339.0,879958339.0,879958339,879958339,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,4
5.2,47798122,2,23899061.0,23899061.0,22032294,25765828,2640007.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,4
94.7,884092335,1,884092335.0,884092335.0,884092335,884092335,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,5
5.3,49662239,2,24831119.5,24831119.5,21064900,28597339,5326238.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,5
94.6,889311970,1,889311970.0,889311970.0,889311970,889311970,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,6
5.4,50737317,2,25368658.5,25368658.5,24715752,26021565,923349.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,6
94.3,894590420,1,894590420.0,894590420.0,894590420,894590420,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,7
5.7,54444340,2,27222170.0,27222170.0,25790258,28654082,2025029.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,7
94.7,876166194,1,876166194.0,876166194.0,876166194,876166194,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,8
5.3,49078896,2,24539448.0,24539448.0,23368537,25710359,1655918.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,8
95.2,894258586,1,894258586.0,894258586.0,894258586,894258586,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,9
4.8,45199929,2,22599964.5,22599964.5,21117008,24082921,2097217.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,9
94.2,877606258,1,877606258.0,877606258.0,877606258,877606258,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,10
5.8,54436660,2,27218330.0,27218330.0,25774623,28662037,2041710.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,10
95.4,1441212826,1,1441212826.0,1441212826.0,1441212826,1441212826,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,1
4.6,68800183,2,34400091.5,34400091.5,30538731,38261452,5460788.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,1
95.5,1450244744,1,1450244744.0,1450244744.0,1450244744,1450244744,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,2
4.5,69117105,2,34558552.5,34558552.5,30629772,38487333,5556134.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,2
95.5,1465343525,1,1465343525.0,1465343525.0,1465343525,1465343525,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,3
4.5,69814553,2,34907276.5,34907276.5,30950728,38863825,5595404.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,3
95.2,1458064009,1,1458064009.0,1458064009.0,1458064009,1458064009,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,4
4.8,73188988,2,36594494.0,36594494.0,34823667,38365321,2504327.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,4
95.5,1454687334,1,1454687334.0,1454687334.0,1454687334,1454687334,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,5
4.5,69270102,2,34635051.0,34635051.0,30815017,38455085,5402343.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,5
94.9,1464426499,1,1464426499.0,1464426499.0,1464426499,1464426499,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,6
5.1,79344574,2,39672287.0,39672287.0,38854566,40490008,1156432.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,6
95.3,1449282240,1,1449282240.0,1449282240.0,1449282240,1449282240,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,7
4.7,71401539,2,35700769.5,35700769.5,33133908,38267631,3630090.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,7
95.5,1478357721,1,1478357721.0,1478357721.0,1478357721,1478357721,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,8
4.5,69413606,2,34706803.0,34706803.0,30845730,38567876,5460381.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,8
95.4,1496993244,1,1496993244.0,1496993244.0,1496993244,1496993244,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,9
4.6,72990719,2,36495359.5,36495359.5,31042104,41948615,7712067.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,9
94.9,1514870257,1,1514870257.0,1514870257.0,1514870257,1514870257,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,10
5.1,80904400,2,40452200.0,40452200.0,39983865,40920535,662325.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,10
96.4,2515608777,1,2515608777.0,2515608777.0,2515608777,2515608777,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,1
3.6,93126366,2,46563183.0,46563183.0,40883411,52242955,8032410.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,1
96.0,2239857768,1,2239857768.0,2239857768.0,2239857768,2239857768,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,2
4.0,92919249,2,46459624.5,46459624.5,40643201,52276048,8225665.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,2
96.0,2233493124,1,2233493124.0,2233493124.0,2233493124,2233493124,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,3
4.0,93016664,2,46508332.0,46508332.0,40765858,52250806,8121084.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,3
95.9,2234177296,1,2234177296.0,2234177296.0,2234177296,2234177296,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,4
4.1,94333771,2,47166885.5,47166885.5,41950253,52383518,7377432.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,4
96.0,2239160926,1,2239160926.0,2239160926.0,2239160926,2239160926,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,5
4.0,94048820,2,47024410.0,47024410.0,41393687,52655133,7963044.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,5
96.0,2262865540,1,2262865540.0,2262865540.0,2262865540,2262865540,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,6
4.0,93989832,2,46994916.0,46994916.0,41228373,52761459,8155123.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,6
96.0,2253669684,1,2253669684.0,2253669684.0,2253669684,2253669684,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,7
4.0,93818417,2,46909208.5,46909208.5,41045001,52773416,8293241.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,7
95.9,2248517651,1,2248517651.0,2248517651.0,2248517651,2248517651,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,8
4.1,96551057,2,48275528.5,48275528.5,42810959,53740098,7728068.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,8
96.0,2240713467,1,2240713467.0,2240713467.0,2240713467,2240713467,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,9
4.0,94476362,2,47238181.0,47238181.0,42306993,52169369,6973752.9,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,9
96.0,2238512731,1,2238512731.0,2238512731.0,2238512731,2238512731,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,10
4.0,93812834,2,46906417.0,46906417.0,41527957,52284877,7606291.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,10
96.4,3154062189,1,3154062189.0,3154062189.0,3154062189,3154062189,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,1
3.6,118183897,2,59091948.5,59091948.5,52741700,65442197,8980607.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,1
96.4,3135986222,1,3135986222.0,3135986222.0,3135986222,3135986222,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,2
3.6,115686116,2,57843058.0,57843058.0,51054496,64631620,9600476.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,2
96.4,3111193261,1,3111193261.0,3111193261.0,3111193261,3111193261,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,3
3.6,115534344,2,57767172.0,57767172.0,51189058,64345286,9302858.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,3
96.4,3163363000,1,3163363000.0,3163363000.0,3163363000,3163363000,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,4
3.6,118842175,2,59421087.5,59421087.5,51670738,67171437,10960649.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,4
96.4,3141788377,1,3141788377.0,3141788377.0,3141788377,3141788377,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,5
3.6,117300642,2,58650321.0,58650321.0,51405156,65895486,10246210.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,5
96.4,3114925436,1,3114925436.0,3114925436.0,3114925436,3114925436,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,6
3.6,115487401,2,57743700.5,57743700.5,50966959,64520442,9583759.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,6
96.5,3162289838,1,3162289838.0,3162289838.0,3162289838,3162289838,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,7
3.5,115914475,2,57957237.5,57957237.5,51133248,64781227,9650578.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,7
96.4,3170176457,1,3170176457.0,3170176457.0,3170176457,3170176457,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,8
3.6,118966821,2,59483410.5,59483410.5,51479732,67487089,11318910.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,8
96.4,3133391650,1,3133391650.0,3133391650.0,3133391650,3133391650,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,9
3.6,118362530,2,59181265.0,59181265.0,51075521,67287009,11463253.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,9
96.5,3140276685,1,3140276685.0,3140276685.0,3140276685,3140276685,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,10
3.5,115332117,2,57666058.5,57666058.5,50975680,64356437,9461624.0,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,10
93.6,893978246,1,893978246.0,893978246.0,893978246,893978246,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,1
6.4,61017476,2,30508738.0,30508738.0,29978120,31039356,750407.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,1
94.9,925675491,1,925675491.0,925675491.0,925675491,925675491,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,1
5.1,49344818,2,24672409.0,24672409.0,23342066,26002752,1881389.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,1
95.0,937935968,1,937935968.0,937935968.0,937935968,937935968,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,2
5.0,49545565,2,24772782.5,24772782.5,23800256,25745309,1375360.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,2
